text,label
"Nach seinem Treffen mit Putin sagte Steve Witkoff in der Sendung von Tucker Carlson am 21.03.25, Putin sei ein guter Küsser. Auch wenn er etwas nach Urin rieche. Ok, eigentlich sagte er, dass ▶️Russland zu „100 Prozent“ nicht Europa überfallen wolle (was es 2014 und 2022 getan hat und noch tut) ▶️ es fünf Regionen „zurückerobert“ habe (was es nicht hat, da es die Gebiete nicht vollständig kontrolliert und da sie Russland nicht gehört haben) ▶️ und dass Russland erreicht habe, was es wolle (was es nicht hat, da seine Grundforderungen bis heute weitreichender sind). Warum Russland dann nicht zu Verhandlungen bereit ist, sagte er nicht. Der Wahrheitsgehalt ist also ungefähr identisch. Witkoff ist übrigens Trumps Sonderbeauftragte für den Nahen Osten, hat also eigentlich mit der Ukraine gar nichts zu tun. Er ist Trumps Golfpartner und hat keinerlei diplomatische Erfahrung. Und er ist Immobilienmogul, seine Söhne haben eine Firma für Kryptowährung von Trump mitbegründet. Carlson ist ein reichweitenstarker Erzähler von (antisemitischen) Verschwörungsmythen, Coronagefasel und anderem Zeug, bis hin zu Außerirdischen. Nachdem die Trump-freundlichen Fox News sich wegen Verbreitung von Falschinformationen 2023 auf einen Vergleich von 787 Millionen Dollar geeinigt hatten, wurde er selbst denen zu krass und gefeuert. Zumal er in privaten Nachrichten gänzlich andere Positionen vertrat als Trump, was durch das Verfahren herauskam. Er hatte jedoch auch danach einen starken Einfluss auf Trumps Wahlkampf und hat alleine auf YouTube fast vier Millionen Follower. Willkommen in der neuen, alternativen Realität.",0
Trumps envoy Witkoff is putting out insane FSB propaganda that Ukraine wants to be part of Russia. I’m travelling to the eastern frontlines now to show the actual truth - that Ukranians are fighting every day to get Russia OUT of their country. 🫡🇺🇦,2
Donald Trump is embarrassing the United States on the world stage. We are a country that stands up to dictators and fights for democracy. Minnesota stands firmly with our allies in Ukraine.,2
"Sure. Why not. Maybe give Putin access to the DoD signal account also. During “peace negotiations” in Saudi, terrorist ruzzia shelled a school injuring 88 people 18 of which are children. Still looking for those buried under rubble while trumps traitor betray Ukraine MAGA.",0
BREAKING: Sec defense Hegseth on The Atlantic report: Reporter: Can you share how your information about war plans was shared with a journalist? Hegseth: So you are talking about a deceitful and highly discredited so-called journalist who has made a profession of peddling hoaxes,1
"Da, ali nije TO NATO AGRESIA",0
Nikada se ne sme zaboraviti NATO agresija na nasu zemlju i zrtve teagresije @avucic #vucic #srbija #natoagresija,0
"Not before time, we need to halt this government's march towards NATO. But we also need a left alliance in the dáil on all issues to stand against FF/FG's continued toxic grip on power in this country.FF/FG'S only policy is to divide & conquer to keep this cosy cartel in control!",0
"@POTUS please help Ukraine! Putin is not going to stop but YOU have the power to push back with weapons delivery, sanctions, & only you know what else. Please do so!!!",2
"This change has had immediate consequences. Ukraine was excluded from the latest US-Russia peace talks. Ukrainian officials, including President Zelenskyy, have condemned the move, warning that any negotiations without Ukraine’s direct involvement are unacceptable. (3/12)",2
"March,7: Donald Trump has said he is 'strongly considering large-scale sanctions' and tariffs on Russia until a ceasefire and peace deal with Ukraine is reached Trump said he was contemplating the move because 'Russia is absolutely 'pounding' Ukraine' https://www.bbc.com/news/articles/c36wkpy3497o",2
"Це відео має побачити якнайбільше іноземців! Допоможете з цим, друзі? 🫂 Соціальний ролик створили американсько-український фонд Razom for Ukraine і продакшн-студія Manifest Production. Його мета — привернути увагу до одного зі злочинів росіян — викрадення українських дітей та підлітків. Впродовж тижня американський канал «Fox & Friends» транслюватиме це відео із закликом допомогти вплинути на уряд країни та повернути понад 19 000 викрадених росією дітей назад до України. Але ми з вами можемо зробити так, аби ролик побачили не лише глядачі телеканалу 🙌🏼 🎥: Manifest Production, Razom for Ukraine.",2
"BP Plans To Exit Stake In Russian Oil Giant Over Ukraine Invasion. If BP walks away from the holdings completely it could write down up to $25 billion, it said.",1
Putin is a disgusting animal ! Talking about peace talks as he targets children in Ukraine schools and homes !,2
"NATO to sojusz obronny. Rosja to agresor. Stoję po stronie NATO - podkreśla republikanin @RepDonBacon , członek Izby Reprezentantów Stanów Zjednoczonych.",2
"Steve Witkoff's March 21 interview with Tucker Carlson highlighted progress in Russia-Ukraine peace talks, including a 30-day ceasefire and energy protection. However, Russia's missile strike on Sumy on March 24, injuring 74 including 13 children, contradicts this optimism. The attack, coinciding with planned talks in Jeddah, suggests a gap between diplomacy and ongoing violence, casting doubt on Russia's commitment to peace.",2
"On Russia: 1. In final years of the Cold War, as a leading proponent of the Reagan Doctrine, I distinctly remember a moment in 1989 when many of us began to conclude that the doctrine was proving so effectual that the entire Soviet empire faced a realistic prospect of collapse;",0
"Just for the record, it doesn't mean I like or support Putin. Both of them are terrible. It's pathetic that some people can't grasp that. It's not an either/or. You can hate them both. And you should.",1
Fuck Putin Fuck Lukaszenka,0
"I wonder when the American authorities will finally realise that Putin is openly mocking and laughing at them? The shelling of Sumy, just during the peace talks in Saudi Arabia. Civilians and children were wounded. The US looks blind and naive #Ukraine",2
Ukraine Peace Talks Proceeding ‘Creatively’ in Shuttle Diplomacy Phase https://www.breitbart.com/europe/2025/03/24/ukraine-peace-talks-proceeding-creatively-in-shuttle-diplomacy-phase/,2
"Kira I was reading an article here on X that Putin wants Trump to stop all weapons delivery to Ukraine , Putin is a dangerous man and I do not believe that Donald recognizes how dangerous Putin is , Kira and Ukrainians protect yourselves !",2
Russia accused of 'hollow' peace talks as fresh strike injures dozens https://www.bbc.com/news/articles/cm2n7jzxy72o,0
"💔 The recollections of russian occupation are heartbreaking. But they must be shared because  people are still living this nightmare daily, as many remain under russian control. We spoke with people who endured the occupation but managed to escape: https://uanimals.org/media/en/interviu-en/evacuating-with-pets-mission-possible/ Their stories are a powerful reminder that when we talk about occupied territories, it’s not just about land, it’s about the people there ❗️",2
"Its not true that Dugin has lost influence since 2014, as The Economist claims (""During Mr Putin’s invasion of Crimea in 2014, Mr Dugin’s enthusiasm for conquering Ukraine reached such excessive heights that he lost his appointment at the prestigious Moscow State University. His Rasputin-like reputation therefore seems overblown"") https://www.economist.com/united-states/2025/03/20/the-american-and-russian-right-are-aligning  Dugin's Eurasianism has merged with White Russian emigre imperial nationalism-fascism (aka Putin's favourite author, Ivan Ilyin) to influence Russia's education system: https://theins.ru/en/opinion/yulia-sineokaya/272221 and Dugin is purging Russia's education system of ""Westernism"" and liberalism: https://meduza.io/en/feature/2025/02/25/alexander-dugin-s-plan-to-remake-political-science @ArkadyOstrovsky @shashj",0
Excellent post. We should remember that this administration has never condemned Putin for the invasion of a Sovereign nation in fact they have insanely blamed America for the illegal actions done by Russia. This is the wrong side of history and we're headed to a very dark place.,2
"🇺🇸🇷🇺🇺🇦 Key analysis and insights from Trump’s envoy on Ukraine’s political future...  ▶️ Steve Witkoff: Ukraine Elections, ‘New Regions’ Recognized, No NATO for Kiev https://21stcenturywire.com/2025/03/24/steve-witkoff-ukraine-election-a-necessity-nato-membership-off-the-table/",2
Russia accused of 'hollow' peace talks as fresh strike injures dozens https://ift.tt/5J6uVhL,0
How much have Russia and Putin paid you? For sacrificing and selling Ukraine to Russia.!!,2
So why hasn't Denmark declared war on Russia?,1
"Kyiv, the capital of the brave 💪🇺🇦❤️🙏🫂",2
"Without the peace talks, Russia would be seizing more territory. So, there's that.",1
🚨JUST IN: Russia accused of 'hollow' peace talks as fresh strike injures dozens https://ift.tt/gcoFRGK,0
How can Putin take Trump seriously? He can read and knows that Trump plans on doing the exact same thing with Greenland that he did with Ukraine.,2
The Trump administration accidentally texted me its war plans via /r/hackernews https://ift.tt/b5Ww32D,1
KREMLIN ON PEACE IN UKRAINE: THERE IS COMMON UNDERSTANDING WITH THE U.S. ON THE WILLINGNESS TO MOVE TOWARDS SETTLEMENT. KREMLIN ON TALKS IN SAUDI ARABIA: NEGOTIATIONS ARE UNDERWAY ON TECHNICAL ISSUES. KREMLIN ON TALKS WITH U.S. IN SAUDI ARABIA: THE BLACK SEA INITIATIVE IS ON THE AGENDA. KREMLIN ON BLACK SEA INITIATIVE: THERE WERE LARGE PARTS OF THE INITIATIVE THAT WERE NOT IMPLEMENTED – THIS IS ALSO ON THE AGENDA ON MONDAY.,0
"These are not peace talks. Putin is merely improving his military-strategic position with the help of the Americans. Putin wants to destroy democratic Europe, and Trump is helping him.",2
"After President Trump’s envoy Steve Witkoff raised hopes of progress on a Black Sea ceasefire in peace talks between U.S. and Russian negotiators, the Kremlin played down hopes for rapid progress, saying there were numerous questions still to be resolved. https://wapo.st/4c1jNJ4",0
"Ukrainian forces said on Monday that they destroyed four Russian helicopters in the Belgorod region. Kyiv used US-provided HIMARS rockets to strike the aircraft, which included formidable Ka-52s. Ka-52s, used to attack ground targets, have been problematic for Ukraine .",2
"Good Monday @WhiteHouse @PalestinePMO @netanyahu @RobertKennedyJr @ZelenskyyUa @realDonaldTrump @CanadaPM @10DowningStreet @KremlinRussia_E @ChingteLai @SyrCoalition Today, take one action towards peace... 🙂 • Say no to Violence • Speak up for Peace • Support Peace Talks",1
"диктатор, який зруйнував усе, на що прийшов у 2019.. без виборів з 21.05.2024.. без мандату народу після 21.05.2024. брехло, яке щотижня розповідає нове - від формули миру і плану перемоги, до справедливого миру..",0
"February 18, 2002 #ICTY, Hague  Slobodan Milosevic: The #NATO aggression against Yugoslavia was retaliation for the existence of #Yugoslavia, the resistance of enslavement and the independent policy that Yugoslavia was leading.  #NATOaggression1999 #KosovoIsSerbia🇷🇸 #UNSCR1244",0
Pete Hegseth Sent Secret War Plans to Journalist by Accident: Report - Newsweek https://www.newsweek.com/trump-secret-houthi-war-plans-goldberg-hegseth-2049762,1
"Let's be honest, Biden and Obama are the same. The US disarmed Ukraine, and delayed the delivery of weapons throughout the years of the war, each time by at least six months.",2
"Austria dismantled a Russian spy network targeting Ukraine’s support across German-speaking nations  The network, with agents embedded in Austria, Germany, and Switzerland, sought to undermine Ukraine's position and sway public opinion https://euromaidanpress.com/2025/03/24/austria-dismantles-russian-spy-network-that-targeted-ukraine-support-across-german-speaking-nations/?swcfpc=1",2
"🇺🇸🇷🇺 The conflict in Ukraine is a US proxy war with Russia, not a war between Ukraine and Russia.  The US can't ""mediate"" between Russia and Ukraine, the US itself is a co-belligerent.   The US engineered this war and each day provides Ukraine AND Europe with the material resources, intelligence, and directives to continue the war.   Each day this war continues is the US choosing to continue it. At any time of its choosing the US can end this war.   The Trump administration has choosen to not only continue the war, it is using negotiations to stall any decisive conclusion in Russia's favor as it openly commands Europe to double down on and if possible, freeze the war for continuation at a later date.  As the US openly wages war and proxy war in the Middle East and threatens even wider war with Iran all while continuing to encroach upon and threaten China, the notion America wants ""peace"" with Russia is a fevered dream among those who've lost their ability to reason amid a tidal wave of false hope.  The US needs time and space to defeat its enemies - including Russia - in detail. Negotiations are a means to pose as wanting peace, while buying that time and space for winning its many and multiplying wars.",0
// President of the United States had no idea that his war cabinet and VP were discussing war plans on a Signal chat //  Maybe Trump was in a DM conversation with Musk and Putin on X at the time and refused the group invite from Pete.,1
Reporter: Why were those details shared on signal?  Hegseth: Nobody was texting war plans,1
"4/  On the very beaches where cartels load people on zodiacs bound for Darién, you saw IOM signage.  Your tax dollars at work to facilitate an invasion of America….",1
"""Nazi philosopher"" Alfred Rosenberg has been appointed as new Reich Minister for Occupied Eastern Territory- land which is to be captured from USSR by a German invasion soon.",0
Kyiv air raid now,2
"🔴ALERTE INFO Gabriel Attal souhaite ""un processus d'adhésion accéléré de l'Ukraine pour que des députés ukrainiens observateurs puissent siéger dès l'année prochaine au Parlement européen"". Complètement IRRESPONSABLE.",2
"Trump’s obsession with Greenland is reckless. It’s a sovereign part of Denmark, and 80% of Greenlanders reject joining the U.S. His threats strain NATO ties and risk conflict. We should respect allies, not bully them into submission. This isn’t leadership, it’s arrogance.",1
We all saw the war chat. What's surprising is that the same anti-European narrative present in the public statements of the Trump administration is seen in their private chats as well. They really aren't hiding anything.,0
Remind anyone of that one time Putin said he had to help all those helpless Russians in Ukraine? https://www.reuters.com/world/poll-shows-85-greenlanders-do-not-want-be-part-us-2025-01-29/,0
"🚨🇺🇸TRUMP WAR PLANS LEAKED IN SIGNAL GROUP—TO A JOURNALIST Trump’s top national security officials used a Signal group chat to plan military strikes on Yemen—and accidentally looped in The Atlantic’s editor-in-chief. The group, including JD Vance, Pete Hegseth, Marco Rubio, and Michael Waltz, shared exact target lists, weapon systems, and attack sequencing. They also discussed internal debates over oil prices and “European freeloading.” Vance griped about bailing out Europe again. Hegseth called it “PATHETIC.” The operation launched exactly when the texts predicted. The bombs dropped. Then the administration confirmed the whole thing was real. Source: The Atlantic",0
"Trump has finally overplayed. Now Putin is demanding that Trump halt the delivery of weapons to Ukraine. In other words, this was Trump’s final leverage over Ukraine: withholding arms to force Kyiv to agree to russians terms. Now, he’ll have nothing left to pressure them with.",0
Initial ceasefire proposal prediction Putin wants international recognition of lands Not possible. Ukraine's redline. Putin requires no weapons delivery. Trump will likely agree to this for the duration of ceasefire. Permanent ban from NATO. Legally binding with peace deal.,0
"Stop following blindly, Marco. Promoting peace? Sure, he’s trying to end the Russo-Ukraine war, and we’re grateful. But he also started wars in Yemen and Israel. Are those bombs killing civilians 'peace bombs'? We love Trump, but we don’t agree with everything.",0
"I mean I find it hard to believe lobbyists for defense firms aren’t freaking out - massive market for us. If we release Russia from sanctions as well, that will cost our oil/gas industry a great deal. Tariffs seem like they could hurt a host of industries that trade with Europe.",1
🔥🔥🔥🔥🔥 Bavovna Well deserved no matter how it started while ruzzia continues THEIR illegal occupation & war in Ukraine. ruzZian slaves/citizens sacrifice themselves for the glory of putin & nearly ONE MILLION are now dead 💀 Why not sacrifice ONE putin and save Russia,2
"Illegal occupation forces have taken Oscar-winner Hamdan Ballal, co-creator of No Other Land, from his village during an horrific pogrom by ethnic-cleanzing settlers. Video remix via kivsa shchora on IG; more in next tweet.",2
Are Trump and the US the right people negotiating the fate of Ukraine? I don't think so,1
"Congrats @PeteHegseth — you may have just set the record for the shortest tenure in national defense history. Leaking war plans on Signal and adding a journalist? That’s not a gaffe, that’s a national security disaster. Resign before someone has to escort you out.",1
"19.57h kod NIS zgrade u sklopu obeležavanja 26 godina od bombardovanja ...traje 17 minita tišine , 16 za nastresnici, 1 min za zrtve NATO intervencije",0
"🇺🇸📱 Leaked Group Chat Shows How the Yemen War Was Planned… on Signal. Yes, Really. In a bizarre twist, The Atlantic’s editor-in-chief was accidentally added to a group chat where Trump’s inner circle — including VP J.D. Vance and Sec. of Defense Pete Hegseth — hashed out plans to bomb Yemen. Vance: “I just hate bailing Europe out again.” Hegseth: “I fully share your loathing of European free-loading. It’s PATHETIC.” Also Vance: “Let’s make sure our messaging is tight.” And: “The strongest reason to do this is… to send a message.” So just to recap: — They didn’t think the Houthis were a real threat — They didn’t think Americans would understand the strikes — They did it anyway, to “send a message” — And they did it on an unencrypted chat app with a journalist inside the group You cannot make this up. This is how wars are started in 2025.",0
"BTW, they had agreed to a deal, then Zelesnky met with Dems and caused the scene Odd you don't mention that they are now trying to stop all the killing that Biden caused due to ending negotiations & peace talks... Biden wanted a proxy war with Russia using Ukrainians as pawns",0
"Using the mocking label of “humanitarian intervention,” @NATO aimed primarily at civilian targets in #Yugoslavia. Over 11 weeks of the aggression approximately 2,500 people, including 89 children, were killed, 12,500 injured, 1,500 settlements destroyed. #NoStatuteOfLimitations",0
"Witkoff Optimistic on Ukraine Talks, Says Putin 'Wants Peace' https://www.newsmax.com/world/globaltalk/russia/2025/03/23/id/1203984/",0
"Popovka, Belgorod region, has come under the control of Ukrainian forces, according to Russian milblogger Romanov. Previously, several Russian channels including Romanov himself reported ongoing assaults with Ukraine's 8th SSO regiment reportedly involved.",2
Russia has repeatedly struck civilian targets in Ukraine with guided missiles and munitions since the start of the full-scale invasion. These are not errant or isolated attacks - they have been a consistent part of Russian war plans.,2
"To nie Putin ma obsesję na punkcie Polski, tylko Żydzi którzy rządzą naszym krajem aż się palą do tego żeby wywołać wojnę, bo dzięki temu będą mogli robić geszefty przy których wszystkie obecne afery to mały pikuś. Że zginą Polacy to nieważne, ważne są ich interesy.",0
After US leaves nato: Nuclear threats ≠ only threats,1
"The russian military has been proven to be a paper tiger. It only strengthens its nuclear weapons. But who knows how the upkeep on their nuclear weapon stockpile has been or the delivery systems. If the delivery systems haven't been well kept, they will not fly.",2
"Propaganda slogans, I’ve heard them before. Ukrainian government started this conflict by killing ethnic Russians in Easter Ukraine, you can’t argue this, it is a proven fact.",0
This morning the Russians attacked a school full of children. Another monstrous act by someone who talks about peace while killing innocent people in their own homes or schools.,2
"Trump's quest for glory as a peacemaker could bring even more trouble to Ukraine. Then other authorities will come, it doesn’t even matter who exactly. They will sweep away this whole pack together with Zelik.",0
🔥🇷🇺🔥 'Elite' penthouse in moscow  Worth over one billion on fire ☺️ #StandWithUkraine,2
"Sabine Adler warnte vor einer möglichen Kriegsgefahr für EU und NATO im Herbst. Die russisch-belarussische Militärübung „SAPAD‼️“, geplant für September, erinnert an eine Übung 2019, die als Tarnung ‼️für den Ukraine-Angriff 2022 diente 🧐🤔Die Suwalki -Lücke 🤔",0
Meet the warmongers: This is where EU’s military frenzy is coming from The bloc has allowed its most war-crazed members to dictate its Russia policies – and now they want to attack Moscow first https://www.rt.com/news/614230-western-eu-rebel-eastern-eu/,0
Celine Dion joins the world in supporting Ukraine. 🇺🇦 Don't stop supporting Ukraine 🇺🇦✊,2
"‼️‼️‼️‼️🍉🍉🍉🍉🍉🍉🍉🍉 Trump is not going to end Kiev’s conflict with Moscow, because White House and US government is occupied by Israeli Zionist Cabal. (How does this statement qualify as a Hateful conduct? )",0
"Before Ukraine, there was NATO in Serbia...............NATO is the problem for Europe, not Russia.",0
It’s that and a bunch of bots egging on conflict,1
Odds are he was drunk. That just what we need - a drunk planning a military strike using a public chat app & inviting random journalists to join. All in service to a psychopath who perpetually whines about everything. Putin doesn’t need spies - he can just log into the chat.,0
"Perezida wa Leta Zunze Ubumwe za Amerika, Donald Trump, yashimagije umubano mwiza afitanye na mugenzi we uyobora u Burusiya, Vladimir Putin, aho yasobanuye ko ibiganiro bagiranye byerekana ko uyu muyobozi yifuza guhagarika intambara muri Ukraine. https://mobile.igihe.com/amakuru/u-rwanda/article/trump-yagaragaje-ko-ibiganiro-bye-na-putin-bigeze-aheza",0
"If Zelensky’s aim is to repair the U.S.-Ukraine relationship, keep the military aid flowing and keep the U.S. from being antagonistic as peace talks with Russia progress—or not?—then this is a remarkably dumb way to do it.",2
Trump and Musk are making it easier for Putin to Murder and Kidnap Ukrainians.,2
Russia bombs hospital while locked in ‘hollow’ peace talks with US https://www.telegraph.co.uk/world-news/2025/03/24/russia-bombs-hospital-hollow-peace-talks-usa/,2
"Returning abducted Ukrainian children 'confidence building measure,' Waltz says amid peace talks. When asked by CBS about the peace talks in Saudi Arabia, U.S. National Security Adviser Mike Waltz praised the efforts of the Trump administration. Waltz said that the topics of prisoner exchanges and Ukrainian children illegally abducted by Russia will likely be discussed at the peace talks, adding that they will serve as 'confidence-building measures' for negotiations. https://kyivindependent.com/confidence-building-measure-mike-waltz-on-abducted-ukrainian-children/",2
Where is the Ukraine's part in the peace talks? Putin and Trump will strip the Ukraine.,2
Tammy Bruce on Russia's war on Ukraine: 'There's no one in the world who wants any of this to continue.' (Putin could call off the invasion at any time ... ),2
"Of course, while peace talks are ongoing again!",1
"The Director of National Intelligence is a Russian asset. The Secretary of Defense is an abusive drunk white nationalist Fox news host. The FBI Director is a deranged QAnon extremist. The President, Vice President, and House Speaker are shamelessly gargling Putin's balls.",0
Putin’s one and only route to victory is through Trump’s head.,0
🚨🚨Gross incompetence. The Trump admin accidentally texted a journalist our war plans. This proves what we always knew: Hegseth was never qualified to be SecDef—now his recklessness is putting Troops' lives at risk. This is deadly serious. MORE: https://www.theatlantic.com/politics/archive/2025/03/trump-administration-accidentally-texted-me-its-war-plans/682151/,0
"Rubio’s right—Trump’s the only leader with the backbone to broker peace. Biden’s admin dumped $113B into Ukraine with zero accountability, fueling endless conflict while bureaucrats ignored audits showing rampant waste. Trump’s America First approach prioritizes strategic negotiation over blank checks, forcing Europe to step up defense spending instead of leaching off U.S. taxpayers. Real leadership means ending wars, not profiting from them.",0
"I have argued this for the past two years: Failure to make peace now and threats of expanding NATO after the war will result in Russia seizing its historical territories from Kharkov to Odessa. - If Ukraine had not been robbed of its neutrality in 2014, then there would not have been any territorial claims. Even in 2022, the Istanbul peace agreement was solely focused on neutrality. We need to end this war now and end NATO expansionism",2
"Denmark is in NATO, which means that an attack on Denmark would unite all the European countries that are part of NATO in defense against the invasion. It would be a dream come true for Putin and Xi Jinping, but you probably don't give a fuck about that, right, MAGA cultist?",2
Why did the U.S. shift focus from Ukrainian elections to changing Ukraine’s Constitution?  Maybe because they finally read it.  The original plan was simple: Zelensky refuses to sign a capitulation? Fine. Replace him through elections — maybe with Zaluzhnyi or someone else.  1/n,1
"Today, we reaffirm our support for you, President @ZelenskyyUa, and a just, lasting peace for Ukraine.  With our ReArm Europe plan, we will speed up delivery of the weapons and ammunition for Ukraine.  We’re making our entire continent safer.",2
"The Trump administration is considering recognizing Ukraine's Crimea region as Russian territory as part of any future agreement to end the Ukraine war, per Semafor",0
"BREAKING:  🇩🇪🇺🇦 After the US, Germany has also stopped the delivery of weapons to Ukraine, but not because it wants to but because their weapons are at a critical level   German Defense Ministry  'Germany has reached the limit of its ability to transfer weapons from its arsenals to Ukraine'",1
"US peace talks with Ukraine, Russia get underway in Saudi Arabia https://www.foxnews.com/world/us-peace-talks-ukraine-russia-get-underway-saudi-arabia",1
"When Russia invaded and began occupying two sections of Georgia in 2008, Russians used the same playbook we've seen from them throughout their 11 year invasion of Ukraine.  Mass rape, mass murder of unarmed civilians, looting and then following it all up with denials that Russian forces were even there - the Russian standard.",2
100% chance Trump is going to halt weapons delivery to Ukraine,0
"No, this is an utter disgrace and exceptionally jingoistic.  Vance is threatening the territory of a fellow NATO member and ally.  This is NOT in any way US territory but MAGA is acting like the worst type of tyrant, Putinesque even.",2
'Who exactly is running the government?' Trump’s war plans leak denial backfires https://www.rawstory.com/trump-war-plans/,1
"They are focus on the nonsense, their fantasies. Meanwhile there is a huge issue to solve with the war Russia Ukraine.",2
"🔴⚡️🇷🇺 Piotr Tolstoï l’affirme  : Les Français meurent en Ukraine, mais Macron cache les pertes. Officiellement, ils “disparaissent en montagne”. Officieusement, ils tombent sous les frappes russes. L’hôtel de Krivoy Rog n’était qu’un exemple. Paris veut éviter un scandale : si les Français savaient, ils diraient non à la guerre.  Source : @Tocsin_Media",0
"U.S. and Russian officials met in Saudi Arabia on Monday to negotiate a Black Sea maritime ceasefire before broader peace talks on Ukraine, as both sides continued exchanging drone strikes.",1
"President Trump announced a 25 percent across-the-board tariff on any country that purchases oil from Venezuela - but who will really be paying for the additional cost? Also today, US/Russia talks begin again in Saudi Arabia. Will the US take control of Ukraine's power plants? Watch @RonPaul & @DanielLMcAdams below:",0
"⚡️ Russia is deliberately prolonging peace talks on Ukraine to seize more territory and strengthen its negotiating position with the U.S., the Moscow Times reported on March 24, citing undisclosed sources. https://kyivindependent.com/russia-deliberately-stalling-ukraine-talks-to-seize-more-land-strengthen-position-moscow-times-reports/",0
"🇬🇷🇷🇸 In 1999, Marinos Ricudis Refused to Bomb Serbia — and Paid the Price Greek naval officer Marinos Ricudis made a courageous stand during NATO’s aggression on Serbia and Montenegro. He refused to serve on a ship that was to provide logistical support to NATO forces bombing the Yugoslav people. For his refusal, he was dismissed from service, left without income for six months, and sentenced to a suspended 2.5-year prison term. In 2018, Ricudis visited Belgrade for the first time, where he was honored by the Serbian Orthodox Church for his moral courage and loyalty to Orthodox values. “As an Orthodox Christian, I cannot participate in an attack on a brotherly people.” Ricudis says he never regretted his choice — and that the gratitude of the Serbian people is the greatest honor he’s ever received.",1
"Starting in the evening, Russia attacked regions of Ukraine with over two hundred strike drones and decoy drones. Guided aerial bombs were also used. Odesa, Zaporizhzhia, Sumy, Kyiv, Khmelnytskyi, and Chernihiv regions came under fire. As a result of the massive strikes by the occupiers on the Odesa region, fires broke out in a shopping mall and several stores, and a residential building was damaged. Three children were injured. In Zaporizhzhia, six people were injured by Russian aerial bombs, including a 4-year-old child. Ordinary houses and vehicles were damaged. In these and all other affected regions, assistance is being provided to the victims. Emergency services are on the scene and working. It is joint pressure on Russia, along with tougher sanctions and stronger defense support for our country, that paves the way to ending this kind of terror and Russia’s prolongation of the war. We expect real pressure on Russia from the United States, Europe, and all our partners. This is what will enable diplomacy to work. I thank all our partners who understand this and continue to help Ukraine, every man and woman in our Defense Forces for their constant protection of our people, and everyone who defends and saves Ukrainians from terror.",2
"Mass murder currently underway in Kyiv. Russians sending drones into residential apartment blocks all over the city. Zero military objective, just killing.",2
"WATCH!!! Zelenkyy says, russia remains the only actor dragging this war out, jeering at both our people and the global community. ""To push Russia toward peace, we need strong moves and strong actions."" Zelenskyy also dubs russian delegation the 'war team'",2
Stop listening to war criminals propganda,1
"🇺🇸 U.S. officials have started taking Putin at his word—even when their own intelligence contradicts him, Zelensky says. ""Russia is successfully influencing some people in the White House team.""",2
"Take your pick: Either Trump is compromised, and/or weak and confused, and doing everything Putin wants him to do, or Trump and Musk have purposefully aligned the United States with Putin's Russia, their ideological and political model. All of the above seems obvious by now.",0
"No weapons delivery is a non-starter for Ukraine, irregardless of North Korean troops.",2
"BREAKING: In a shocking national security breach, senior Trump officials accidentally added a journalist to a group chat discussing top secret war plans. This administration is a complete disaster.",1
"U.S. officials have started taking Putin at his word—even when their own intelligence contradicts him, President Zelensky says. 'Russia is successfully influencing some people in the White House team.'",0
"This almost proves more then anything that #USA must be removed from the peace talks about Ukraine, as they are now confirmed a Mafia organisation, using strikes to DEMAND things back. USA need's to be a 'Non-tradable partner' right now. his level of incompetence is immeasurable.",0
"You're right, it was smaller. It got bigger DESPITE sanctions. The use of NATO intelligence, weaponry, specialists, and training is absolutely war. Also, these idiotic self imposed deadlines have to stop, the 'Russia is winning too slowly' cope MUST stop",0
